Cycle No,Residual Capacity or SOH (Actual),Residual Capacity or SOH(Predicted),Error,%error,max. error(percentage),average error(percentage),prediction formula
121,100,99.34675086,0.653249142,0.653249142,,,
122,100,99.34874537,0.651254634,0.651254634,,,
123,100,99.35069002,0.649309976,0.649309976,,,
124,100,99.35258482,0.647415179,0.647415179,,,
125,100,99.35442974,0.645570257,0.645570257,,,
126,100,99.35622478,0.643775222,0.643775222,,,
127,100,99.35796992,0.642030083,0.642030083,,,
128,100,99.35966515,0.640334848,0.640334848,,,
129,100,99.36131047,0.638689525,0.638689525,,,
130,100,99.36290588,0.637094121,0.637094121,,,
131,100,99.36445136,0.635548639,0.635548639,,,
132,100,99.36594692,0.634053083,0.634053083,,,
133,100,99.36739254,0.632607456,0.632607456,,,
134,100,99.36878824,0.631211757,0.631211757,,,
135,100,99.37013401,0.629865987,0.629865987,,,
136,100,99.37142986,0.628570143,0.628570143,,,
137,100,99.37267578,0.627324223,0.627324223,,,
138,100,99.37387178,0.626128223,0.626128223,,,
139,100,99.37501786,0.624982136,0.624982136,,,
140,100,99.37611404,0.623885957,0.623885957,,,
141,100,99.37716032,0.622839677,0.622839677,,,
142,100,99.37815671,0.621843287,0.621843287,,,
143,100,99.37910322,0.620896776,0.620896776,,,
144,100,99.37999987,0.620000134,0.620000134,,,
145,100,99.38084665,0.619153346,0.619153346,,,
146,100,99.3816436,0.6183564,0.6183564,,,
147,100,99.38239072,0.61760928,0.61760928,,,
148,100,99.38308803,0.616911969,0.616911969,,,
149,100,99.38373555,0.61626445,0.61626445,,,
150,100,99.3843333,0.615666704,0.615666704,,,
151,100,99.38488129,0.615118711,0.615118711,,,
152,100,99.38537955,0.614620451,0.614620451,,,
153,100,99.3858281,0.6141719,0.6141719,,,
154,100,99.38622696,0.613773037,0.613773037,,,
155,100,99.38657616,0.613423835,0.613423835,,,
156,100,99.38687573,0.61312427,0.61312427,,,
157,100,99.38712568,0.612874315,0.612874315,,,
158,100,99.38732606,0.612673943,0.612673943,,,
159,100,99.38747688,0.612523123,0.612523123,,,
160,100,99.38757817,0.612421826,0.612421826,,,
161,100,99.38762998,0.612370022,0.612370022,,,
162,100,99.38763232,0.612367677,0.612367677,,,
163,100,99.38758524,0.612414759,0.612414759,,,
164,100,99.38748877,0.612511233,0.612511233,,,
165,100,99.38734294,0.612657063,0.612657063,,,
166,100,99.38714779,0.612852215,0.612852215,,,
167,100,99.38690335,0.613096648,0.613096648,,,
168,100,99.38660967,0.613390326,0.613390326,,,
169,100,99.38626679,0.613733209,0.613733209,,,
170,100,99.38587474,0.614125256,0.614125256,,,
171,100,99.38543357,0.614566425,0.614566425,,,
172,100,99.38494333,0.615056674,0.615056674,,,
173,100,99.38440404,0.615595959,0.615595959,,,
174,100,99.38381576,0.616184235,0.616184235,,,
175,100,99.38317854,0.616821457,0.616821457,,,
