Cycle No,Residual Capacity(Actual),Residual Capacity(Predicted)
1907,83.64,
1908,83.64,
1909,83.64,
1910,83.61,
1911,83.61,
1912,83.61,
1913,83.6,
1914,83.59,
1915,83.59,
1916,83.57,
1917,83.57,
1918,83.57,
1919,83.56,
1920,83.55,
1921,83.55,
1922,83.54,
1923,83.53,
1924,83.53,
1925,83.52,
1926,83.52,
1927,83.5,
1928,83.49,
1929,83.49,
1930,83.45,
1931,83.45,
1932,83.45,
1933,83.44,
1934,83.43,
1935,83.43,
1936,83.41,
1937,83.4,
1938,83.4,
1939,83.39,
1940,83.38,
1941,83.37,
1942,83.37,
1943,83.37,
1944,83.34,
1945,83.34,
1946,83.33,
1947,83.33,
1948,83.33,
1949,83.32,
1950,83.31,
1951,83.28,
1952,83.27,
1953,83.27,
1954,83.27,
1955,83.26,
1956,83.25,
1957,83.25,
1958,83.25,
1959,83.24,
1960,83.23,
1961,83.23,
1962,83.21,
1963,83.21,
1964,83.2,
1965,83.19,
1966,83.19,
1967,83.18,
1968,83.16,
1969,83.15,
1970,83.12,
1971,83.11,
1972,83.1,
1973,83.09,
1974,83.09,
1975,83.08,
1976,83.08,
1977,83.08,
1978,83.08,
1979,83.07,
1980,83.07,
1981,83.06,
1982,83.05,
1983,83.04,
1984,83.01,
1985,83.01,
1986,83,
1987,83,
1988,82.99,
1989,82.98,
1990,82.98,
1991,82.94,
1992,82.92,
1993,82.91,
1994,82.91,
1995,82.91,
1996,82.91,
1997,82.9,
1998,82.9,
1999,82.89,
2000,82.89,
2001,82.89,
2002,82.89,
2003,82.88,
2004,82.88,
2005,82.87,
2006,82.87,
2007,82.83,
2008,82.82,
2009,82.81,
2010,82.8,
2011,82.8,
2012,82.79,
2013,82.78,
2014,82.78,
2015,82.78,
2016,82.77,
2017,82.77,
2018,82.74,
2019,82.74,
2020,82.73,
2021,82.73,
2022,82.72,
2023,82.71,
2024,82.71,
2025,82.71,
2026,82.7,
2027,82.68,
2028,82.67,
2029,82.65,
2030,82.65,
2031,82.64,
2032,82.64,
2033,82.64,
2034,82.63,
2035,82.62,
2036,82.62,
2037,82.61,
2038,82.61,
2039,82.59,
2040,82.58,
2041,82.57,
2042,82.54,
2043,82.54,
2044,82.53,
2045,82.53,
2046,82.52,
2047,82.52,
2048,82.5,
2049,82.49,
2050,82.49,
2051,82.48,
2052,82.47,
2053,82.46,
2054,82.45,
2055,82.45,
2056,82.45,
2057,82.44,
2058,82.44,
2059,82.43,
2060,82.42,
2061,82.42,
2062,82.41,
2063,82.4,
2064,82.39,
2065,82.37,
2066,82.36,
2067,82.35,
2068,82.35,
2069,82.35,
2070,82.34,
2071,82.34,
2072,82.33,
2073,82.31,
2074,82.3,
2075,82.3,
2076,82.3,
2077,82.28,
2078,82.26,
2079,82.26,
2080,82.25,
2081,82.24,
2082,82.22,
2083,82.22,
2084,82.22,
2085,82.21,
2086,82.19,
2087,82.18,
2088,82.18,
2089,82.17,
2090,82.17,
2091,82.17,
2092,82.15,
2093,82.15,
2094,82.14,
2095,82.1,
2096,82.1,
2097,82.1,
2098,82.09,
2099,82.08,
2100,82.07,
2101,82.06,
2102,82.05,
2103,82.02,
2104,82,
2105,82,
2106,82,
2107,81.99,
2108,81.99,
2109,81.99,
2110,81.96,
2111,81.96,
2112,81.95,
2113,81.95,
2114,81.94,
2115,81.92,
2116,81.92,
2117,81.91,
2118,81.91,
2119,81.91,
2120,81.9,
2121,81.9,
2122,81.89,
2123,81.88,
2124,81.84,
2125,81.83,
2126,81.83,
2127,81.82,
2128,81.81,
2129,81.78,
2130,81.78,
2131,81.77,
2132,81.75,
2133,81.75,
2134,81.74,
2135,81.72,
2136,81.72,
2137,81.71,
2138,81.71,
2139,81.66,
2140,81.65,
2141,81.63,
2142,81.63,
2143,81.63,
2144,81.62,
2145,81.61,
2146,81.59,
2147,81.59,
2148,81.58,
2149,81.57,
2150,81.56,
2151,81.55,
2152,81.54,
2153,81.54,
2154,81.53,
2155,81.53,
2156,81.51,
2157,81.49,
2158,81.48,
2159,81.47,
2160,81.46,
2161,81.46,
2162,81.44,
2163,81.44,
2164,81.44,
2165,81.41,
2166,81.4,
2167,81.38,
2168,81.36,
2169,81.35,
2170,81.35,
2171,81.35,
2172,81.35,
2173,81.34,
2174,81.33,
2175,81.29,
2176,81.28,
2177,81.28,
2178,81.27,
2179,81.26,
2180,81.26,
2181,81.25,
2182,81.23,
2183,81.23,
2184,81.2,
2185,81.2,
2186,81.19,
2187,81.19,
2188,81.17,
2189,81.16,
2190,81.12,
2191,81.11,
2192,81.1,
2193,81.09,
2194,81.08,
2195,81.07,
2196,81.05,
2197,81.05,
2198,81.05,
2199,81.03,
2200,81.03,
2201,81.02,
2202,81.01,
2203,81,
2204,80.99,
2205,80.97,
2206,80.97,
2207,80.95,
2208,80.91,
2209,80.89,
2210,80.87,
2211,80.87,
2212,80.86,
2213,80.82,
2214,80.82,
2215,80.81,
2216,80.81,
2217,80.79,
2218,80.79,
2219,80.77,
2220,80.72,
2221,80.67,
2222,80.67,
2223,80.65,
2224,80.64,
2225,80.62,
2226,80.61,
2227,80.6,
2228,80.53,
2229,80.48,
2230,80.48,
2231,80.45,
2232,80.43,
2233,80.43,
2234,80.4,
2235,80.32,
2236,80.29,
2237,80.29,
2238,80.29,
2239,80.28,
2240,80.24,
2241,80.23,
2242,80.2,
2243,80.16,
2244,80.16,
2245,80.11,
2246,80.08,
2247,80.06,
2248,80.04,
2249,79.96,
2250,79.93,
2251,79.87,
2252,79.84,
2253,79.8,
2254,79.78,
2255,79.76,
2256,79.76,
2257,79.69,
2258,79.56,
2259,79.46,
2260,79.32,
2261,79.29,
2262,79.22,
2263,79.22,
2264,79.07,
2265,78.99,
2266,78.83,
2267,78.75,
2268,78.71,
2269,78.69,
2270,78.59,
2271,78.52,
2272,78.35,
2273,78.29,
2274,78.16,
2275,78.13,
2276,78.11,
2277,78.05,
2278,77.87,
2279,77.82,
2280,77.64,
2281,77.64,
2282,77.59,
2283,77.56,
2284,77.4,
2285,77.36,
2286,77.16,
2287,77.12,
2288,77.11,
2289,76.99,
2290,76.93,
2291,76.89,
2292,76.69,
2293,76.66,
2294,76.58,
2295,76.45,
2296,76.42,
2297,76.42,
2298,76.21,
2299,76.18,
2300,76.06,
2301,75.96,
2302,75.96,
2303,75.85,
2304,75.77,
2305,75.71,
2306,75.67,
2307,75.55,
2308,75.54,
2309,75.47,
2310,75.29,
2311,75.14,
2312,75.08,
